date,time_utc,strategy,instrument,direction,entry_price,sl_price,tp_price,entry_atr,entry_adx,entry_slope,status,outcome,exit_price,exit_time_utc,exit_reason,r_realized,notes
2026-04-02,14:56,NYOpen_US500,SPY,BUY,655.34,652.34,661.34,,,,CLOSED,LOSS,652.34,,SL_EST,-1.0,legacy_backfill
2026-04-08,14:59,NYOpen_US500,SPY,SELL,672.53,675.53,666.53,,,,CLOSED,LOSS,675.53,,SL_EST,-1.0,legacy_backfill
2026-04-14,15:04,NYOpen_US500,SPY,BUY,691.41,688.41,697.41,,,,CLOSED,WIN,697.41,,TP_EST,2.0,legacy_backfill
2026-04-15,15:53,NYOpen_US500,SPY,BUY,697.41,694.41,703.41,,,,CLOSED,WIN,703.41,,TP_EST,2.0,legacy_backfill
2026-04-17,14:56,NYOpen_US500,SPY,BUY,710.25,707.25,716.25,,,,CLOSED,LOSS,707.25,,SL_EST,-1.0,legacy_backfill
2026-04-20,15:05,NYOpen_US500,SPY,SELL,706.75,709.75,700.75,,,,CLOSED,LOSS,709.75,,SL_EST,-1.0,legacy_backfill
2026-04-21,15:02,NYOpen_US500,SPY,SELL,706.89,709.89,700.89,,,,CLOSED,LOSS,709.89,,SL_EST,-1.0,legacy_backfill
2026-04-22,11:23,XAUUSD_EmaPullback,XAU/USD,BUY,4760.39,4747.87,4820.48,,,,CLOSED,LOSS,4747.87,,SL_EST,-1.0,legacy_backfill
2026-04-23,15:20,NYOpen_US500,SPY,BUY,712.06,709.06,718.06,,,,CLOSED,LOSS,709.06,,SL_EST,-1.0,legacy_backfill
2026-04-24,14:58,NYOpen_US500,SPY,BUY,711.5,708.5,717.5,,,,CLOSED,LOSS,708.5,,SL_EST,-1.0,legacy_backfill
2026-04-28,15:26,NYOpen_US500,SPY,SELL,709.84,712.84,703.84,,,,CLOSED,LOSS,712.84,,SL_EST,-1.0,legacy_backfill
2026-04-30,15:21,NYOpen_US500,SPY,BUY,714.17,711.17,720.17,,,,CLOSED,WIN,720.17,,TP_EST,2.0,legacy_backfill
2026-05-01,14:56,NYOpen_US500,SPY,SELL,723.0,726.0,717.0,,,,CLOSED,WIN,717.0,,TP_EST,2.0,legacy_backfill
2026-05-04,15:20,NYOpen_US500,SPY,SELL,719.66,722.66,713.66,,,,CLOSED,LOSS,722.66,,SL_EST,-1.0,legacy_backfill
2026-05-06,15:26,NYOpen_US500_Filtered,SPY,BUY,732.3,729.88,737.13,1.6115,34.4,0.00405,CLOSED,WIN,735.48,2026-05-07 14:30,TIME,1.314,regime_filter=on;regime_passed=true
2026-05-06,15:26,NYOpen_US500_Raw,SPY,BUY,732.3,729.88,737.13,1.6115,34.4,0.00405,CLOSED,WIN,735.48,2026-05-07 14:30,TIME,1.314,regime_filter=off;regime_passed=true
2026-05-07,14:53,NYOpen_US500_Filtered,SPY,BUY,735.48,733.52,739.39,1.305,45.29,0.00343,CLOSED,LOSS,733.52,2026-05-07 16:00,SL,-1.0,regime_filter=on;regime_passed=true
2026-05-07,14:53,NYOpen_US500_Raw,SPY,BUY,735.48,733.52,739.39,1.305,45.29,0.00343,CLOSED,LOSS,733.52,2026-05-07 16:00,SL,-1.0,regime_filter=off;regime_passed=true
2026-05-11,15:01,NYOpen_US500_Filtered,SPY,BUY,739.64,737.32,744.27,1.5444,32.12,0.00472,CLOSED,LOSS,737.32,2026-05-12 13:30,SL,-1.0,regime_filter=on;regime_passed=true
2026-05-11,15:01,NYOpen_US500_Raw,SPY,BUY,739.64,737.32,744.27,1.5444,32.12,0.00472,CLOSED,LOSS,737.32,2026-05-12 13:30,SL,-1.0,regime_filter=off;regime_passed=true
2026-05-11,15:01,OptionExpirationWeek_US500,SPY,BUY,739.64,702.66,813.6,0.0,,,CLOSED,LOSS,738.37,2026-05-18 14:30,TIME,-0.0343,calendar_exit=friday_close;opex_week=true
2026-05-12,14:53,NYOpen_US500_Raw,SPY,SELL,734.11,736.42,729.48,1.5424,26.51,0.00281,CLOSED,LOSS,736.42,2026-05-12 18:00,SL,-1.0,regime_filter=off;regime_passed=false
2026-05-13,15:31,NYOpen_US500_Raw,SPY,BUY,739.11,736.87,743.6,1.4951,19.36,0.00097,CLOSED,WIN,743.6,2026-05-13 18:00,TP,2.0045,regime_filter=off;regime_passed=false
2026-05-14,14:49,NYOpen_US500_Filtered,SPY,BUY,747.07,744.66,751.89,1.6081,32.79,0.0026,CLOSED,LOSS,744.66,2026-05-15 13:30,SL,-1.0,regime_filter=on;regime_passed=true
2026-05-14,14:49,NYOpen_US500_Raw,SPY,BUY,747.07,744.66,751.89,1.6081,32.79,0.0026,CLOSED,LOSS,744.66,2026-05-15 13:30,SL,-1.0,regime_filter=off;regime_passed=true
2026-05-20,15:44,NYOpen_US500_Raw,SPY,BUY,740.3,736.57,747.77,2.4884,26.76,-0.00247,CLOSED,LOSS,738.78,2026-05-21 15:00,TIME,-0.4075,regime_filter=off;regime_passed=false
2026-05-22,15:31,NYOpen_US500_Raw,SPY,BUY,747.91,744.68,754.37,2.1548,23.14,0.0018,CLOSED,WIN,749.85,2026-05-26 15:00,TIME,0.6006,regime_filter=off;regime_passed=false
2026-05-26,15:55,NYOpen_US500_Raw,SPY,SELL,748.62,751.46,742.95,1.8907,29.21,0.0038,CLOSED,LOSS,749.53,2026-05-27 15:00,TIME,-0.3204,regime_filter=off;regime_passed=false
2026-05-27,15:45,NYOpen_US500_Raw,SPY,SELL,748.66,751.0,743.97,1.5628,26.85,0.00329,CLOSED,LOSS,751.0,2026-05-27 18:30,SL,-1.0,regime_filter=off;regime_passed=false
2026-05-28,15:45,NYOpen_US500_Filtered,SPY,BUY,754.04,751.91,758.31,1.4219,25.13,0.00324,CLOSED,WIN,756.78,2026-05-29 15:00,TIME,1.2864,regime_filter=on;regime_passed=true
2026-05-28,15:45,NYOpen_US500_Raw,SPY,BUY,754.04,751.91,758.31,1.4219,25.13,0.00324,CLOSED,WIN,756.78,2026-05-29 15:00,TIME,1.2864,regime_filter=off;regime_passed=true
2026-06-02,15:19,NYOpen_US500_Raw,SPY,BUY,760.04,758.08,763.96,1.308,28.45,0.00248,CLOSED,LOSS,758.08,2026-06-03 13:30,SL,-1.0,regime_filter=off;regime_passed=false
2026-06-04,15:47,NYOpen_US500_Raw,SPY,BUY,755.19,753.16,759.25,1.3533,35.99,-0.00032,CLOSED,LOSS,753.16,2026-06-05 13:30,SL,-1.0,regime_filter=off;regime_passed=false
